"","Gene.Set","Gene.Set.ID","Gene.Set.Name","Cluster","FDR","Num Cluster Genes","Gene.Set.Size","Total Num Cluster Genes","Num Sig Clusters","All Sig Clusters"
"1","SLIM2 GO CC","GO:0005730","nucleolus","LinearUp-4",1.5e-24,36,226,119,2,"LinearUp-4, LinearUp-6"
"2","SLIM2 GO CC","GO:0005886","plasma membrane","LinearDown-6",1.9e-24,280,1267,1320,4,"Complex-12, LinearDown-3, LinearDown-4, LinearDown-6"
"3","DRSC GLAD Gene Group","GLAD:24595","Mitochondrial","LinearDown-6",2.5e-24,224,973,1320,8,"Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6"
"4","SLIM2 GO BP","GO:0042254","ribosome biogenesis","LinearUp-4",5.5e-24,34,206,119,4,"LinearUp-1, LinearUp-2, LinearUp-4, LinearUp-6"
"5","REACTOME pathway","R-DME-156827","L13a-mediated translational silencing of Ceruloplasmin expression","LinearUp-1",7.66e-24,40,105,438,3,"Complex-6, LinearUp-1, LinearUp-2"
"6","REACTOME pathway","R-DME-1799339","SRP-dependent cotranslational protein targeting to membrane","LinearUp-1",7.66e-24,39,83,438,2,"Complex-6, LinearUp-1"
"7","REACTOME pathway","R-DME-72613","Eukaryotic Translation Initiation","LinearUp-1",7.66e-24,41,113,438,3,"Complex-6, LinearUp-1, LinearUp-2"
"8","REACTOME pathway","R-DME-72689","Formation of a pool of free 40S subunits","LinearUp-1",7.66e-24,40,91,438,2,"Complex-6, LinearUp-1"
"9","REACTOME pathway","R-DME-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","LinearUp-1",7.66e-24,39,78,438,3,"Complex-6, LinearUp-1, LinearUp-2"
"10","REACTOME pathway","R-DME-72737","Cap-dependent Translation Initiation","LinearUp-1",7.66e-24,41,113,438,3,"Complex-6, LinearUp-1, LinearUp-2"
"11","REACTOME pathway","R-DME-927802","Nonsense-Mediated Decay (NMD)","LinearUp-1",7.66e-24,40,99,438,2,"Complex-6, LinearUp-1"
"12","REACTOME pathway","R-DME-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","LinearUp-1",7.66e-24,39,85,438,3,"Complex-6, LinearUp-1, LinearUp-2"
"13","REACTOME pathway","R-DME-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","LinearUp-1",7.66e-24,40,99,438,2,"Complex-6, LinearUp-1"
"14","SLIM2 GO BP","GO:0002181","cytoplasmic translation","LinearUp-1",8e-24,42,128,438,3,"Complex-6, LinearUp-1, LinearUp-2"
"15","SLIM2 GO BP","GO:0006811","ion transport","LinearDown-6",8.1e-24,136,514,1320,2,"Complex-12, LinearDown-6"
"16","FlyBase Gene Group","FBgg0000141","CYTOPLASMIC RIBOSOMAL PROTEINS","LinearUp-1",4.29e-23,40,93,438,3,"Complex-6, LinearUp-1, LinearUp-2"
"17","FlyBase Gene Group","FBgg0000141","CYTOPLASMIC RIBOSOMAL PROTEINS","Complex-6",9.17e-23,23,93,149,3,"Complex-6, LinearUp-1, LinearUp-2"
"18","SLIM2 GO MF","GO:0003735","structural constituent of ribosome","LinearUp-1",1.34e-21,40,171,438,2,"Complex-6, LinearUp-1"
"19","SLIM2 GO BP","GO:0002181","cytoplasmic translation","Complex-6",3.07e-21,24,128,149,3,"Complex-6, LinearUp-1, LinearUp-2"
"20","FlyBase Gene Group","FBgg0000130","RIBOSOMAL PROTEINS","LinearUp-1",3.21e-21,40,168,438,2,"Complex-6, LinearUp-1"
"21","DRSC GLAD Gene Group","GLAD:24600","Ribosome","LinearUp-1",9.6e-21,40,182,438,2,"Complex-6, LinearUp-1"
"22","REACTOME pathway","R-DME-112316","Neuronal System","LinearDown-6",1.2e-20,74,215,1320,2,"LinearDown-4, LinearDown-6"
"23","REACTOME pathway","R-DME-8953854","Metabolism of RNA","LinearUp-1",1.55e-20,64,477,438,4,"Complex-6, LinearUp-1, LinearUp-3, LinearUp-4"
"24","FlyBase Gene Group","FBgg0000482","OXIDATIVE PHOSPHORYLATION CHAIN COMPLEX SUBUNITS","LinearDown-6",3.58e-20,53,120,1320,2,"Complex-12, LinearDown-6"
"25","FlyBase Gene Group","FBgg0001841","MITOCHONDRIAL OXPHOS COMPLEX VARIANTS","LinearDown-6",3.58e-20,52,115,1320,2,"Complex-12, LinearDown-6"
"26","FlyBase Gene Group","FBgg0001853","OXIDATIVE PHOSPHORYLATION GROUPS","LinearDown-6",3.58e-20,53,120,1320,2,"Complex-12, LinearDown-6"
"27","REACTOME pathway","R-DME-72689","Formation of a pool of free 40S subunits","Complex-6",6.48e-20,21,91,149,2,"Complex-6, LinearUp-1"
"28","REACTOME pathway","R-DME-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","Complex-6",6.48e-20,20,78,149,3,"Complex-6, LinearUp-1, LinearUp-2"
"29","REACTOME pathway","R-DME-1428517","The citric acid (TCA) cycle and respiratory electron transport","LinearDown-6",6.99e-20,61,155,1320,2,"Complex-12, LinearDown-6"
"30","DRSC GLAD Gene Group","GLAD:24606","Trans-membrane proteins","LinearDown-6",7.64e-20,491,3474,1320,4,"Complex-12, LinearDown-1, LinearDown-4, LinearDown-6"
"31","SLIM2 GO MF","GO:0022857","transmembrane transporter activity","LinearDown-6",1.06e-19,150,690,1320,2,"Complex-12, LinearDown-6"
"32","REACTOME pathway","R-DME-1799339","SRP-dependent cotranslational protein targeting to membrane","Complex-6",1.7e-19,20,83,149,2,"Complex-6, LinearUp-1"
"33","REACTOME pathway","R-DME-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Complex-6",2.15e-19,20,85,149,3,"Complex-6, LinearUp-1, LinearUp-2"
"34","REACTOME pathway","R-DME-72766","Translation","LinearUp-1",2.99e-19,42,216,438,2,"Complex-6, LinearUp-1"
"35","SLIM2 GO BP","GO:0016072","rRNA metabolic process","LinearUp-4",6.13e-19,21,138,119,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"36","REACTOME pathway","R-DME-156827","L13a-mediated translational silencing of Ceruloplasmin expression","Complex-6",6.4e-19,21,105,149,3,"Complex-6, LinearUp-1, LinearUp-2"
"37","SLIM2 GO CC","GO:0005783","endoplasmic reticulum","LinearUp-7",7.78e-19,33,454,130,1,"LinearUp-7"
"38","REACTOME pathway","R-DME-72613","Eukaryotic Translation Initiation","Complex-6",2.33e-18,21,113,149,3,"Complex-6, LinearUp-1, LinearUp-2"
"39","REACTOME pathway","R-DME-72737","Cap-dependent Translation Initiation","Complex-6",2.33e-18,21,113,149,3,"Complex-6, LinearUp-1, LinearUp-2"
"40","REACTOME pathway","R-DME-927802","Nonsense-Mediated Decay (NMD)","Complex-6",2.56e-18,20,99,149,2,"Complex-6, LinearUp-1"
"41","REACTOME pathway","R-DME-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","Complex-6",2.56e-18,20,99,149,2,"Complex-6, LinearUp-1"
"42","REACTOME pathway","R-DME-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","LinearDown-6",8.99e-18,48,110,1320,2,"Complex-12, LinearDown-6"
"43","SLIM2 GO MF","GO:0003735","structural constituent of ribosome","Complex-6",4.01e-17,23,171,149,2,"Complex-6, LinearUp-1"
"44","FlyBase Gene Group","FBgg0000200","CYTOPLASMIC LARGE RIBOSOMAL PROTEINS","LinearUp-1",6.09e-17,22,54,438,3,"Complex-6, LinearUp-1, LinearUp-2"
"45","FlyBase Gene Group","FBgg0000130","RIBOSOMAL PROTEINS","Complex-6",7.48e-17,23,168,149,2,"Complex-6, LinearUp-1"
"46","DRSC GLAD Gene Group","GLAD:24600","Ribosome","Complex-6",1.11e-16,23,182,149,2,"Complex-6, LinearUp-1"
"47","DRSC GLAD Gene Group","GLAD:24591","Matrisome","Complex-12",1.37e-16,44,577,219,1,"Complex-12"
"48","SLIM2 GO CC","GO:0045202","synapse","LinearDown-6",1.67e-16,81,301,1320,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"49","DRSC GLAD Gene Group","GLAD:24607","Transporters","LinearDown-6",3.63e-16,132,636,1320,2,"Complex-12, LinearDown-6"
"50","SLIM2 GO CC","GO:0005634","nucleus","LinearUp-4",4.52e-16,65,2667,119,3,"LinearUp-2, LinearUp-3, LinearUp-4"
"51","SLIM2 GO CC","GO:0005739","mitochondrion","LinearDown-6",6.71e-16,153,792,1320,4,"Complex-2, Complex-3, Complex-7, LinearDown-6"
"52","REACTOME pathway","R-DME-112315","Transmission across Chemical Synapses","LinearDown-6",8.87e-16,57,169,1320,2,"LinearDown-4, LinearDown-6"
"53","FlyBase Gene Group","FBgg0000071","CYTOPLASMIC SMALL RIBOSOMAL PROTEINS","LinearUp-1",5.18e-15,18,39,438,2,"Complex-6, LinearUp-1"
"54","SLIM2 GO CC","GO:0005829","cytosol","LinearUp-1",3.06e-14,72,790,438,9,"Complex-10, Complex-5, Complex-6, Complex-7, Complex-8, LinearUp-1, LinearUp-2, LinearUp-5, LinearUp-7"
"55","REACTOME pathway","R-DME-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","LinearUp-4",4.88e-14,15,85,119,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"56","REACTOME pathway","R-DME-72312","rRNA processing","LinearUp-4",4.88e-14,15,85,119,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"57","REACTOME pathway","R-DME-8868773","rRNA processing in the nucleus and cytosol","LinearUp-4",4.88e-14,15,85,119,3,"LinearUp-1, LinearUp-4, LinearUp-6"
"58","REACTOME pathway","R-DME-611105","Respiratory electron transport","LinearDown-6",1e-13,39,93,1320,2,"Complex-12, LinearDown-6"
"59","FlyBase Gene Group","FBgg0001178","CUTICLE PROTEIN FAMILIES","Complex-12",1.49e-13,22,138,219,1,"Complex-12"
"60","REACTOME pathway","R-DME-72695","Formation of the ternary complex, and subsequently, the 43S complex","LinearUp-1",3.8e-13,18,49,438,2,"Complex-6, LinearUp-1"
"61","FlyBase Gene Group","FBgg0000071","CYTOPLASMIC SMALL RIBOSOMAL PROTEINS","Complex-6",5.05e-13,12,39,149,2,"Complex-6, LinearUp-1"
"62","SLIM2 GO MF","GO:0042302","structural constituent of cuticle","Complex-12",9.66e-13,20,129,219,1,"Complex-12"
"63","REACTOME pathway","R-DME-72766","Translation","Complex-6",1.35e-12,21,216,149,2,"Complex-6, LinearUp-1"
"64","REACTOME pathway","R-DME-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","LinearUp-1",2.03e-12,19,61,438,2,"Complex-6, LinearUp-1"
"65","REACTOME pathway","R-DME-392499","Metabolism of proteins","LinearUp-1",2.2e-12,79,978,438,3,"Complex-6, LinearUp-1, LinearUp-7"
"66","DRSC GLAD Gene Group","GLAD:24592","Metabolic vs1","Complex-10",3.31e-12,36,1657,78,8,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-6, Complex-7, Complex-9, LinearDown-6"
"67","REACTOME pathway","R-DME-112314","Neurotransmitter receptors and postsynaptic signal transmission","LinearDown-6",6.78e-12,35,86,1320,1,"LinearDown-6"
"68","REACTOME pathway","R-DME-1430728","Metabolism","LinearDown-6",6.78e-12,199,1212,1320,11,"Complex-10, Complex-12, Complex-2, Complex-3, Complex-4, Complex-6, Complex-7, Complex-9, LinearDown-1, LinearDown-6, LinearUp-1"
"69","SLIM2 GO BP","GO:0050808","synapse organization","LinearDown-6",1.02e-11,72,295,1320,3,"LinearDown-3, LinearDown-4, LinearDown-6"
"70","REACTOME pathway","R-DME-72702","Ribosomal scanning and start codon recognition","LinearUp-1",1.25e-11,18,59,438,2,"Complex-6, LinearUp-1"
"71","DRSC GLAD Gene Group","GLAD:24586","Glycoproteins","LinearDown-6",1.3e-11,83,379,1320,4,"LinearDown-6, LinearUp-1, LinearUp-5, LinearUp-8"
"72","REACTOME pathway","R-DME-446203","Asparagine N-linked glycosylation","LinearUp-7",1.58e-11,19,198,130,1,"LinearUp-7"
"73","REACTOME pathway","R-DME-72649","Translation initiation complex formation","LinearUp-1",1.63e-11,18,60,438,2,"Complex-6, LinearUp-1"
