"","x","y","xend","yend","col","lwd","lty","Cluster"
"1",2376.88628620189,1.99060596733722,943.148302674294,1.99060596733722,"black",0.7,"solid",NA
"2",943.148302674294,1.99060596733722,943.148302674294,1.90072839369348,"black",0.7,"solid",NA
"3",943.148302674294,1.90072839369348,109.213594675064,1.90072839369348,"black",0.7,"solid",NA
"4",109.213594675064,1.90072839369348,109.213594675064,1.79688125200466,"black",0.7,"solid",NA
"5",109.213594675064,1.79688125200466,26.83935546875,1.79688125200466,"black",0.7,"solid",NA
"6",26.83935546875,1.79688125200466,26.83935546875,1.56716338631765,"black",0.7,"solid",NA
"7",26.83935546875,1.56716338631765,8.03125,1.56716338631765,"#1B9E77",0.7,"solid","Complex-1"
"8",8.03125,1.56716338631765,8.03125,1.27614895527415,"#1B9E77",0.7,"solid","Complex-1"
"9",8.03125,1.27614895527415,3.625,1.27614895527415,"#1B9E77",0.7,"solid","Complex-1"
"10",3.625,1.27614895527415,3.625,0.670012342167522,"#1B9E77",0.7,"solid","Complex-1"
"11",3.625,0.670012342167522,1.75,0.670012342167522,"#1B9E77",0.7,"solid","Complex-1"
"12",1.75,0.670012342167522,1.75,0.38390381303544,"#1B9E77",0.7,"solid","Complex-1"
"13",1.75,0.38390381303544,1,0.38390381303544,"#1B9E77",0.7,"solid","Complex-1"
"14",1,0.38390381303544,1,0,"#1B9E77",0.7,"solid","Complex-1"
"15",1.75,0.38390381303544,2.5,0.38390381303544,"#1B9E77",0.7,"solid","Complex-1"
"16",2.5,0.38390381303544,2.5,0.130741886676554,"#1B9E77",0.7,"solid","Complex-1"
"17",2.5,0.130741886676554,2,0.130741886676554,"#1B9E77",0.7,"solid","Complex-1"
"18",2,0.130741886676554,2,0,"#1B9E77",0.7,"solid","Complex-1"
"19",2.5,0.130741886676554,3,0.130741886676554,"#1B9E77",0.7,"solid","Complex-1"
"20",3,0.130741886676554,3,0,"#1B9E77",0.7,"solid","Complex-1"
"21",3.625,0.670012342167522,5.5,0.670012342167522,"#1B9E77",0.7,"solid","Complex-1"
"22",5.5,0.670012342167522,5.5,0.507331210333062,"#1B9E77",0.7,"solid","Complex-1"
"23",5.5,0.507331210333062,4.5,0.507331210333062,"#1B9E77",0.7,"solid","Complex-1"
"24",4.5,0.507331210333062,4.5,0.231941621084457,"#1B9E77",0.7,"solid","Complex-1"
"25",4.5,0.231941621084457,4,0.231941621084457,"#1B9E77",0.7,"solid","Complex-1"
"26",4,0.231941621084457,4,0,"#1B9E77",0.7,"solid","Complex-1"
"27",4.5,0.231941621084457,5,0.231941621084457,"#1B9E77",0.7,"solid","Complex-1"
"28",5,0.231941621084457,5,0,"#1B9E77",0.7,"solid","Complex-1"
"29",5.5,0.507331210333062,6.5,0.507331210333062,"#1B9E77",0.7,"solid","Complex-1"
"30",6.5,0.507331210333062,6.5,0.337838313648241,"#1B9E77",0.7,"solid","Complex-1"
"31",6.5,0.337838313648241,6,0.337838313648241,"#1B9E77",0.7,"solid","Complex-1"
"32",6,0.337838313648241,6,0,"#1B9E77",0.7,"solid","Complex-1"
"33",6.5,0.337838313648241,7,0.337838313648241,"#1B9E77",0.7,"solid","Complex-1"
"34",7,0.337838313648241,7,0,"#1B9E77",0.7,"solid","Complex-1"
"35",8.03125,1.27614895527415,12.4375,1.27614895527415,"#1B9E77",0.7,"solid","Complex-1"
"36",12.4375,1.27614895527415,12.4375,0.915162749483515,"#1B9E77",0.7,"solid","Complex-1"
"37",12.4375,0.915162749483515,9.25,0.915162749483515,"#1B9E77",0.7,"solid","Complex-1"
"38",9.25,0.915162749483515,9.25,0.395360367968269,"#1B9E77",0.7,"solid","Complex-1"
"39",9.25,0.395360367968269,8,0.395360367968269,"#1B9E77",0.7,"solid","Complex-1"
"40",8,0.395360367968269,8,0,"#1B9E77",0.7,"solid","Complex-1"
